region,type,e,n,var,p50,p250,p500,p750,p950
1,3,1221,22142595,3,0.1949852000397202,0.2281695064976475,0.2821563606731104,0.3443111282579791,0.3443111282579791
1,3,1221,22142595,4,4693,4862,5528,10405,14285
1,3,1221,22142595,5,3.3572338533338875,4.4370821238797,6.229870456661589,7.799983721011932,9.629308207883444
1,3,1221,22142595,6,65.99060424542067,66.21686378981357,67.94742872675991,72.76587076423664,78.0422667116389
1,3,1221,22142595,8,0.1822448828443751,0.5211203935845722,0.5260709114868553,0.6245654717783227,0.7277408060774233
1,3,1221,22142595,9,0.0022748809712122,0.0022748809712122,0.0225123113847574,0.0334724143818069,0.046614696985878
1,3,1221,22142595,7,0.0525810452597333,0.1347877621420623,0.1988071684337602,0.38922362100563,0.38922362100563
1,8,221,93733,2,2.4000000000000004,12.2,25.200000000000003,41.1,63.3
1,8,221,93733,1,0.4442188025372228,0.4891778243353291,0.4891778243353291,0.4980858912039465,0.5382922008132786
1,8,221,93733,3,0.2576576634433509,0.2685325585726092,0.2685325585726092,0.3144286600099386,0.4337653266088829
1,8,221,93733,4,2039,5384,7055,7055,12231
1,8,221,93733,5,2.923710823059082,6.447037564304581,6.777898928797898,6.799117696789328,10.86254375138408
1,8,221,93733,6,61.48285866886397,69.7222288814596,73.18446746082901,73.43586343529988,73.43586343529988
1,8,221,93733,8,0.1736755831418617,0.3491840321141861,0.609098903260158,0.609098903260158,0.8012814420168408
1,8,221,93733,9,0.0161250921930826,0.0313630909458137,0.0313630909458137,0.1336416309958929,0.4177475473970931
1,8,221,93733,7,0.0011448365398024,0.0397772128197464,0.1306083195476162,0.1306083195476162,0.1306083195476162
1,6,35,6847,2,2.1,10.4,24.3,39.8,62.6
1,6,35,6847,1,0.48089473208762,0.48089473208762,0.48089473208762,0.5062800680183728,0.5074144376230608
1,6,35,6847,3,0.2686379545832007,0.3419029668929235,0.3419029668929235,0.355244431022591,0.355244431022591
1,6,35,6847,4,2714,2714,2714,30087,30087
1,6,35,6847,5,2.151215660338537,2.151215660338537,2.151215660338537,12.484737579045532,12.484737579045532
1,6,35,6847,6,68.6838763738308,71.47851853173205,72.59207605512152,72.59207605512152,72.59207605512152
1,6,35,6847,8,0.2182488312120089,0.2561336756855055,0.6361197765810508,0.6361197765810508,0.6361197765810508
1,6,35,6847,9,0.0283184743972103,0.0283184743972103,0.0283184743972103,0.2205380957285934,0.2205380957285934
1,6,35,6847,7,0.0347441255143616,0.0347441255143616,0.0347441255143616,0.4282617179563196,0.4282617179563196
1,4,412,16602329,2,3,14.4,28.3,44.3,64.9
1,4,412,16602329,1,0.4830748359469346,0.4891778243353247,0.4891778243353331,0.4902424462129298,0.5084334576248278
1,4,412,16602329,3,0.2229456934600303,0.2446720224974768,0.2685325585726033,0.2685325585726157,0.295772422037281
1,4,412,16602329,4,5440,5843,6509,7655,10073
1,4,412,16602329,5,5.910768548009783,5.910768548009785,6.923697486872149,7.633325493852162,7.799983721011932
1,4,412,16602329,6,66.62369606952484,70.25969507867916,72.07943009608982,73.61317340694661,73.61317340694661
1,4,412,16602329,8,0.5595632416856089,0.6010851974035247,0.6224323234447854,0.6245654717783227,0.6914942150430783
1,4,412,16602329,9,0.0312531990204041,0.0313257890133828,0.0313835622664871,0.0387000652518626,0.0390880073731737
1,4,412,16602329,7,0.0304352500578911,0.0657132261323891,0.1347877621420623,0.1390406165098896,0.2101891975885198
1,1,476,2708887,2,1.8,8.9,18.9,33.300000000000004,58
1,1,476,2708887,1,0.4155670027516835,0.4435843032394621,0.4481964701895234,0.4553035420756894,0.4909192578951689
1,1,476,2708887,3,0.3487274739739576,0.394875935769182,0.4128212769744511,0.4336702954362511,0.4617838819657232
1,1,476,2708887,4,1861,2194,2540,2694,5610
1,1,476,2708887,5,1.856699630332011,1.9719610982975369,2.2079625129699703,2.9622104167938232,10.95385293916046
1,1,476,2708887,6,60.5006554514742,61.47139739990232,62.24935825566006,62.94452664088878,70.86954262881785
1,1,476,2708887,8,0.0889443140235504,0.101165665732195,0.3189408580892011,0.4731789440243344,0.6195640264954173
1,1,476,2708887,9,0.1201153460667833,0.2204006681071216,0.3791706864770419,0.6104080476841888,0.6157447995630394
1,1,476,2708887,7,0.0014575917652568,0.0024240193106707,0.0216866748566575,0.0533443459394286,0.2299159992352833
1,5,61,1321955,2,2,10.1,21.6,37,60.8
1,5,61,1321955,1,0.3906973731702143,0.4706328789573884,0.4706328789573884,0.4984325707002454,0.5382922102148047
